buurt_id,buurt_code,buurt,2016,2017,2018,2019,2020
1,A00,Burgwallen-Oude Zijde,4290,4246,4306,4293,4465
2,A01,Burgwallen-Nieuwe Zijde,3981,3991,3934,4130,4134
3,A02,Grachtengordel-West,6483,6371,6386,6374,6440
4,A03,Grachtengordel-Zuid,5455,5407,5355,5383,5436
5,A04,Nieuwmarkt/Lastage,9618,9649,9780,9676,9703
6,A05,Haarlemmerbuurt,9314,9304,9318,9313,9275
7,A06,Jordaan,19408,19316,19442,19433,19399
8,A07,De Weteringschans,7352,7256,7238,7258,7294
9,A08,Weesperbuurt/Plantage,7943,7894,7872,7744,7480
10,A09,Oostelijke Eilanden/Kadijken,12655,12988,13220,13258,13684
11,A,Centrum,86499,86422,86851,86862,87310
13,B10,Westelijk Havengebied,200,192,198,177,106
14,B,Westpoort,200,192,198,177,106
16,E12,Houthavens,1044,1065,1118,2394,2950
17,E13,Spaarndammer- en Zeeheldenbuurt,10888,10801,10782,10788,10783
18,E14,Staatsliedenbuurt,13187,13268,13315,13162,13098
19,E15,Centrale Markt,2501,2452,2428,2485,2472
20,E16,Frederik Hendrikbuurt,8496,8414,8441,8314,8273
21,E17,Da Costabuurt,4688,4742,4705,4643,4660
22,E18,Kinkerbuurt,6358,6391,6592,6528,6673
23,E19,Van Lennepbuurt,7078,6985,6990,7030,7083
24,E20,Helmersbuurt,7506,7470,7411,7461,7362
25,E21,Overtoomse Sluis,7788,7807,7891,7917,8006
26,E22,Vondelbuurt,1868,1897,1862,1843,1771
27,E36,Sloterdijk,515,529,507,549,539
28,E37,Landlust,19082,18652,18571,18899,19061
29,E38,Erasmuspark,5891,5765,5850,5887,5872
30,E39,De Kolenkit,9577,9918,10081,10166,10724
31,E40,Geuzenbuurt,6840,6935,6903,6817,6842
32,E41,Van Galenbuurt,6992,6977,7158,7527,7696
33,E42,Hoofdweg e.o.,10481,10619,10412,10367,10435
34,E43,Westindische Buurt,6938,6944,6950,6924,6959
35,E75,Chassébuurt,6246,6211,6243,6207,6162
36,E,West,143964,143842,144210,145908,147421
38,F11,Bedrijventerrein Sloterdijk,106,149,525,864,842
39,F76,Slotermeer-Noordoost,9474,9410,9299,9355,9480
40,F77,Slotermeer-Zuidwest,17290,17377,17963,17988,18035
41,F78,Geuzenveld,15478,15727,15710,16257,16535
42,F79,Eendracht,2392,2461,2443,2449,2452
43,F80,Lutkemeer/Ookmeer,850,867,868,1129,1218
44,F81,Osdorp-Oost,15930,16116,16308,16298,16676
45,F82,Osdorp-Midden,15883,16009,16062,15765,15712
46,F83,De Punt,5897,5997,6074,6136,6228
47,F84,Middelveldsche Akerpolder,14488,14445,14536,14532,14470
48,F85,Slotervaart-Noord,7990,7897,7999,8063,8137
49,F86,Overtoomse Veld,12139,12328,13373,13923,14149
50,F87,Westlandgracht,7837,8706,10060,10581,11345
51,F88,Sloter-/Riekerpolder,13977,13994,14005,13976,14034
52,F89,Slotervaart-Zuid,9666,10194,10556,10648,10811
53,F,Nieuw-West,149397,151677,155781,157964,160124
58,wijk/std,naam wijk/std,2016,2017,2018,2019,totaal
60,K23,Zuidas,2256,2800,3703,3853,3947
61,K24,Oude Pijp,14871,14711,14827,14767,14812
62,K25,Nieuwe Pijp,12406,12306,12328,12373,12431
63,K26,Zuid-Pijp,8276,8254,8206,8205,8196
64,K44,Hoofddorppleinbuurt,11767,11853,11836,11817,11860
65,K45,Schinkelbuurt,3844,3837,3826,3934,3958
66,K46,Willemspark,5647,5538,5503,5499,5516
67,K47,Museumkwartier,12866,12841,12628,12731,12619
68,K48,Stadionbuurt,11646,11806,11798,11827,11925
69,K49,Apollobuurt,8764,8691,8644,8636,8537
70,K52,Scheldebuurt,14752,15088,15119,15112,14988
71,K53,IJselbuurt,5360,5373,5387,5311,5292
72,K54,Rijnbuurt,9128,9183,9166,9112,9156
73,K59,Prinses Irenebuurt e.o.,1318,1313,1336,1337,1342
74,K90,Buitenveldert-West,12697,13074,13372,13531,13613
75,K91,Buitenveldert-Oost,7660,7764,7869,7921,8099
76,K,Zuid,143258,144432,145548,145966,146291
78,M27,Weesperzijde,5225,5429,5536,5855,5894
79,M28,Oosterparkbuurt,10957,10906,10896,10858,10880
80,M29,Dapperbuurt,9255,9755,10069,10189,10224
81,M30,Transvaalbuurt,9426,9413,9345,9260,9237
82,M31,Indische Buurt-West,12590,12668,12657,12626,12533
83,M32,Indische Buurt-Oost,10379,10264,10218,10058,9915
84,M33,Oostelijk Havengebied,18495,18646,18552,18842,18924
85,M34,Zeeburgereiland/Nieuwe Diep,1204,2178,3141,3653,4704
86,M35,IJburg-West,14431,14531,14823,15465,15730
87,M50,IJburg-Oost,-,-,-,-,-
88,M51,IJburg-Zuid,7009,7666,8098,8253,8264
89,M55,Frankendael,11004,11072,10807,11311,11637
90,M56,Middenmeer,15308,15577,15455,15867,15790
91,M57,Betondorp,3215,3234,3253,3263,3234
92,M58,De Omval/Overamstel,3923,4428,4604,4800,5083
93,M,Oost,132421,135767,137454,140300,142049
95,N60,Volewijck,9655,9731,9760,9646,9561
96,N61,IJplein/Vogelbuurt,8246,8289,8256,8270,8257
97,N62,Tuindorp Nieuwendam,3520,3539,3528,3521,3532
98,N63,Tuindorp Buiksloot,1866,1925,1910,1882,1885
99,N64,Nieuwendammerdijk/Buiksloterdijk,1690,1685,1695,1694,1659
100,N65,Tuindorp Oostzaan,11168,11348,11531,11713,11958
101,N66,Oostzanerwerf,8764,8902,8893,8899,8883
102,N67,Kadoelen,3036,3074,3118,3291,3488
103,N68,Waterlandpleinbuurt,13311,13275,13179,13190,13191
104,N69,Buikslotermeer,10956,11121,11173,11129,11154
105,N70,Banne Buiksloot,14186,14367,14309,14417,14781
106,N71,Noordelijke IJ-oevers-West,1692,2546,3594,4057,4759
107,N72,Noordelijke IJ-oevers-Oost,164,208,316,326,297
108,N73,Waterland,2211,2201,2277,2312,2378
109,N74,Elzenhagen,2452,2555,2736,2853,3455
110,N,Noord,92917,94766,96275,97200,99238
115,wijk/std,naam wijk/std,2016,2017,2018,2019,totaal
117,T92,Amstel III/Bullewijk,438,666,714,715,742
118,T93,"Bijlmer-Centrum (D,F,H)",23981,24397,24294,24187,24939
119,T94,"Bijlmer-Oost (E,G,K)",27260,28491,28848,29481,29788
120,T95,Nellestein,3012,2990,2937,2921,3037
121,T96,Holendrecht/Reigersbos,18320,18308,18272,18262,18388
122,T97,Gein,11567,11477,11386,11438,11327
123,T98,Driemond,1479,1525,1548,1606,1620
124,T,Zuidoost,86057,87854,87999,88610,89841
126,ASD,Amsterdam,834713,844952,854316,862987,872380
